X,Y
1.51333,229.9906
1.51667,230.0335
1.52000,230.0322
1.52333,230.0651
1.52667,230.0482
1.53000,230.0038
1.53333,230.0033
1.53667,230.0078
1.54000,230.0099
1.54333,230.0399
1.54667,229.9853
1.55000,229.9839
1.55333,230.0168
1.55667,230.0128
1.56000,230.0037
1.56333,230.0258
1.56667,229.9963
1.57000,230.0058
1.57333,230.0097
1.57667,230.0216
1.58000,229.9717
1.58333,229.9889
1.58667,230.0029
1.59000,229.9896
1.59333,230.0531
1.59667,230.0524
1.60000,230.0415
1.60333,230.0653
1.60667,230.0696
1.61000,230.0211
1.61333,230.0188
1.61667,230.0106
1.62000,230.0808
1.62333,230.0672
1.62667,230.0184
1.63000,230.0541
1.63333,230.0560
1.63667,230.0660
1.64000,230.0825
1.64333,230.1095
1.64667,230.0553
1.65000,230.0485
1.65333,230.1141
1.65667,230.0730
1.66000,230.0273
1.66333,230.0042
1.66667,230.0951
1.67000,230.0549
1.67333,230.1370
1.67667,230.0821
1.68000,230.1049
1.68333,230.1669
1.68667,230.0402
1.69000,230.1835
1.69333,230.1452
1.69667,230.1495
1.70000,230.1684
1.70333,230.1954
1.70667,230.1349
1.71000,230.1473
1.71333,230.1400
1.71667,230.2084
1.72000,230.1491
1.72333,230.2095
1.72667,230.2263
1.73000,230.1483
1.73333,230.1351
1.73667,230.1390
1.74000,230.1791
1.74333,230.2287
1.74667,230.2949
1.75000,230.3060
1.75333,230.3412
1.75667,230.3963
1.76000,230.3207
1.76333,230.3172
1.76667,230.3788
1.77000,230.3690
1.77333,230.3891
1.77667,230.4634
1.78000,230.4187
1.78333,230.3896
1.78667,230.2953
1.79000,230.3410
1.79333,230.4545
1.79667,230.4436
1.80000,230.5765
1.80333,230.5562
1.80667,230.5807
1.81000,230.5862
1.81333,230.6015
1.81667,230.4989
1.82000,230.7408
1.82333,230.7001
1.82667,230.6754
1.83000,230.7384
1.83333,230.7388
1.83667,230.8102
1.84000,230.5808
1.84333,230.2880
1.84667,230.2559
1.85000,230.4000
1.85333,229.1462
1.85667,230.2649
1.86000,230.7840
1.86333,230.8981
1.86667,230.9559
1.87000,230.7626
1.87333,230.8222
1.87667,230.8693
1.88000,230.8401
1.88333,230.9642
1.88667,230.9079
1.89000,230.8150
1.89333,230.9806
1.89667,230.9119
1.90000,230.8523
1.90333,230.8593
1.90667,230.8523
1.91000,230.9374
1.91333,230.8826
1.91667,230.7358
1.92000,230.8351
1.92333,230.7375
1.92667,230.7730
1.93000,230.8590
1.93333,230.6948
1.93667,230.6814
1.94000,230.6205
1.94333,230.6629
1.94667,230.5728
1.95000,230.5826
1.95333,230.5418
1.95667,230.5062
1.96000,230.5291
1.96333,230.5121
1.96667,230.5645
1.97000,230.4350
1.97333,230.4144
1.97667,230.4897
1.98000,230.3489
1.98333,230.3030
1.98667,230.2897
1.99000,230.1832
